#CAEN board	CAEN Ch	layer	assembly	board channel	row	column modNr
1	56	0	009	1	1	0	0
1	57	0	009	2	1	1	0
1	58	0	009	3	1	2	0
1	59	0	009	4	1	3	0
1	60	0	009	5	0	3	0
1	61	0	009	6	0	2	0
1	62	0	009	7	0	1	0
1	63	0	009	8	0	0	0
1	48	1	010	1	1	0	0
1	49	1	010	2	1	1	0
1	50	1	010	3	1	2	0
1	51	1	010	4	1	3	0
1	52	1	010	5	0	3	0
1	53	1	010	6	0	2	0
1	54	1	010	7	0	1	0
1	55	1	010	8	0	0	0
1	40	2	011	1	1	0	0
1	41	2	011	2	1	1	0
1	42	2	011	3	1	2	0
1	43	2	011	4	1	3	0
1	44	2	011	5	0	3	0
1	45	2	011	6	0	2	0
1	46	2	011	7	0	1	0
1	47	2	011	8	0	0	0
1	32	3	012	1	1	0	0
1	33	3	012	2	1	1	0
1	34	3	012	3	1	2	0
1	35	3	012	4	1	3	0
1	36	3	012	5	0	3	0
1	37	3	012	6	0	2	0
1	38	3	012	7	0	1	0
1	39	3	012	8	0	0	0
1	24	4	013	1	1	0	0
1	25	4	013	2	1	1	0
1	26	4	013	3	1	2	0
1	27	4	013	4	1	3	0
1	28	4	013	5	0	3	0
1	29	4	013	6	0	2	0
1	30	4	013	7	0	1	0
1	31	4	013	8	0	0	0
1	16	5	014	1	1	0	0
1	17	5	014	2	1	1	0
1	18	5	014	3	1	2	0
1	19	5	014	4	1	3	0
1	20	5	014	5	0	3	0
1	21	5	014	6	0	2	0
1	22	5	014	7	0	1	0
1	23	5	014	8	0	0	0
1	8	6	015	1	1	0	0
1	9	6	015	2	1	1	0
1	10	6	015	3	1	2	0
1	11	6	015	4	1	3	0
1	12	6	015	5	0	3	0
1	13	6	015	6	0	2	0
1	14	6	015	7	0	1	0
1	15	6	015	8	0	0	0
1	0	7	016	1	1	0	0
1	1	7	016	2	1	1	0
1	2	7	016	3	1	2	0
1	3	7	016	4	1	3	0
1	4	7	016	5	0	3	0
1	5	7	016	6	0	2	0
1	6	7	016	7	0	1	0
1	7	7	016	8	0	0	0
