#CAEN board	CAEN Ch	layer	assembly	board channel	row	column modNr modX modY
0	56	0	001	1	1	0	0	0	0
0	57	0	001	2	1	1	0	0	0
0	58	0	001	3	1	2	0	0	0
0	59	0	001	4	1	3	0	0	0
0	60	0	001	5	0	3	0	0	0
0	61	0	001	6	0	2	0	0	0
0	62	0	001	7	0	1	0	0	0
0	63	0	001	8	0	0	0	0	0
0	48	1	002	1	1	0	0	0	0
0	49	1	002	2	1	1	0	0	0
0	50	1	002	3	1	2	0	0	0
0	51	1	002	4	1	3	0	0	0
0	52	1	002	5	0	3	0	0	0
0	53	1	002	6	0	2	0	0	0
0	54	1	002	7	0	1	0	0	0
0	55	1	002	8	0	0	0	0	0
0	40	2	003	1	1	0	0	0	0
0	41	2	003	2	1	1	0	0	0
0	42	2	003	3	1	2	0	0	0
0	43	2	003	4	1	3	0	0	0
0	44	2	003	5	0	3	0	0	0
0	45	2	003	6	0	2	0	0	0
0	46	2	003	7	0	1	0	0	0
0	47	2	003	8	0	0	0	0	0
0	32	3	065	1	1	0	0	0	0
0	33	3	065	2	1	1	0	0	0
0	34	3	065	3	1	2	0	0	0
0	35	3	065	4	1	3	0	0	0
0	36	3	065	5	0	3	0	0	0
0	37	3	065	6	0	2	0	0	0
0	38	3	065	7	0	1	0	0	0
0	39	3	065	8	0	0	0	0	0
0	24	4	066	1	1	0	0	0	0
0	25	4	066	2	1	1	0	0	0
0	26	4	066	3	1	2	0	0	0
0	27	4	066	4	1	3	0	0	0
0	28	4	066	5	0	3	0	0	0
0	29	4	066	6	0	2	0	0	0
0	30	4	066	7	0	1	0	0	0
0	31	4	066	8	0	0	0	0	0
0	16	5	067	1	1	0	0	0	0
0	17	5	067	2	1	1	0	0	0
0	18	5	067	3	1	2	0	0	0
0	19	5	067	4	1	3	0	0	0
0	20	5	067	5	0	3	0	0	0
0	21	5	067	6	0	2	0	0	0
0	22	5	067	7	0	1	0	0	0
0	23	5	067	8	0	0	0	0	0
0	8	6	070	1	1	0	0	0	0
0	9	6	070	2	1	1	0	0	0
0	10	6	070	3	1	2	0	0	0
0	11	6	070	4	1	3	0	0	0
0	12	6	070	5	0	3	0	0	0
0	13	6	070	6	0	2	0	0	0
0	14	6	070	7	0	1	0	0	0
0	15	6	070	8	0	0	0	0	0
0	0	7	071	1	1	0	0	0	0
0	1	7	071	2	1	1	0	0	0
0	2	7	071	3	1	2	0	0	0
0	3	7	071	4	1	3	0	0	0
0	4	7	071	5	0	3	0	0	0
0	5	7	071	6	0	2	0	0	0
0	6	7	071	7	0	1	0	0	0
0	7	7	071	8	0	0	0	0	0
1	56	8	009	1	1	0	0	0	0
1	57	8	009	2	1	1	0	0	0
1	58	8	009	3	1	2	0	0	0
1	59	8	009	4	1	3	0	0	0
1	60	8	009	5	0	3	0	0	0
1	61	8	009	6	0	2	0	0	0
1	62	8	009	7	0	1	0	0	0
1	63	8	009	8	0	0	0	0	0
1	48	9	010	1	1	0	0	0	0
1	49	9	010	2	1	1	0	0	0
1	50	9	010	3	1	2	0	0	0
1	51	9	010	4	1	3	0	0	0
1	52	9	010	5	0	3	0	0	0
1	53	9	010	6	0	2	0	0	0
1	54	9	010	7	0	1	0	0	0
1	55	9	010	8	0	0	0	0	0
1	40	10	011	1	1	0	0	0	0
1	41	10	011	2	1	1	0	0	0
1	42	10	011	3	1	2	0	0	0
1	43	10	011	4	1	3	0	0	0
1	44	10	011	5	0	3	0	0	0
1	45	10	011	6	0	2	0	0	0
1	46	10	011	7	0	1	0	0	0
1	47	10	011	8	0	0	0	0	0
1	32	11	012	1	1	0	0	0	0
1	33	11	012	2	1	1	0	0	0
1	34	11	012	3	1	2	0	0	0
1	35	11	012	4	1	3	0	0	0
1	36	11	012	5	0	3	0	0	0
1	37	11	012	6	0	2	0	0	0
1	38	11	012	7	0	1	0	0	0
1	39	11	012	8	0	0	0	0	0
1	24	12	013	1	1	0	0	0	0
1	25	12	013	2	1	1	0	0	0
1	26	12	013	3	1	2	0	0	0
1	27	12	013	4	1	3	0	0	0
1	28	12	013	5	0	3	0	0	0
1	29	12	013	6	0	2	0	0	0
1	30	12	013	7	0	1	0	0	0
1	31	12	013	8	0	0	0	0	0
1	16	13	014	1	1	0	0	0	0
1	17	13	014	2	1	1	0	0	0
1	18	13	014	3	1	2	0	0	0
1	19	13	014	4	1	3	0	0	0
1	20	13	014	5	0	3	0	0	0
1	21	13	014	6	0	2	0	0	0
1	22	13	014	7	0	1	0	0	0
1	23	13	014	8	0	0	0	0	0
1	8	14	015	1	1	0	0	0	0
1	9	14	015	2	1	1	0	0	0
1	10	14	015	3	1	2	0	0	0
1	11	14	015	4	1	3	0	0	0
1	12	14	015	5	0	3	0	0	0
1	13	14	015	6	0	2	0	0	0
1	14	14	015	7	0	1	0	0	0
1	15	14	015	8	0	0	0	0	0
1	0	15	016	1	1	0	0	0	0
1	1	15	016	2	1	1	0	0	0
1	2	15	016	3	1	2	0	0	0
1	3	15	016	4	1	3	0	0	0
1	4	15	016	5	0	3	0	0	0
1	5	15	016	6	0	2	0	0	0
1	6	15	016	7	0	1	0	0	0
1	7	15	016	8	0	0	0	0	0
2	56	16	017	1	1	0	0	0	0
2	57	16	017	2	1	1	0	0	0
2	58	16	017	3	1	2	0	0	0
2	59	16	017	4	1	3	0	0	0
2	60	16	017	5	0	3	0	0	0
2	61	16	017	6	0	2	0	0	0
2	62	16	017	7	0	1	0	0	0
2	63	16	017	8	0	0	0	0	0
2	48	17	018	1	1	0	0	0	0
2	49	17	018	2	1	1	0	0	0
