#layer  #assembly #HGCROC board   #layer in HGCROC unit # Module Number
0   E001    0 0 0
1   E006    0 1 0
2   F001    0 2 0
3   F011    0 3 0
4   F021    0 4 0
5   F031    0 5 0
6   F041    0 6 0
7   F046    0 7 0
