# Asic nr	 half id 	 ToA offset
0	0	10
0	1	10
1	0	528
1	1	780
2	0	10
2	1	10
3	0	528
3	1	528
4	0	270
4	1	780
5	0	270
5	1	528
6	0	10
6	1	10
7	0	528
7	1	528
