sumOpt	2
#HGCROC board	HGCROC Ch	layer	assembly	board channel	row	column modNr modX modY
0	0	6	H041	5	0	3	1	0	5	10
0	49	6	H041	6	0	2	1	0	5	10
0	36	6	H041	7	0	1	1	0	5	10
0	51	6	H041	8	0	0	1	0	5	10
0	3	7	H051	1	1	0	1	0	5	10
0	7	7	H051	2	1	1	1	0	5	10
0	41	7	H051	3	1	2	1	0	5	10
0	54	7	H051	4	1	3	1	0	5	10
0	68	7	H051	5	0	3	1	0	5	10
0	43	7	H051	6	0	2	1	0	5	10
0	37	7	H051	7	0	1	1	0	5	10
0	24	7	H051	8	0	0	1	0	5	10
