#layer  #assembly #HGCROC board   #layer in HGCROC unit # Module Number
0   F001    1 0 0
1   F006    1 1 0
2   F011    1 2 0
3   F016    1 3 0
4   F021    1 4 0
5   F031    1 5 0
6   F041    1 6 0
7   H070    1 7 0
0  H001    0 0 1
1  H006    0 1 1
2  H011    0 2 1
3  H016    0 3 1
4  H021    0 4 1
5  H031    0 5 1
6  H041    0 6 1
7  H051    0 7 1
